condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,space_RT,DIFFERENCE,RATIO,ABS ERROR,Avg.underest.(percentage)
2-Control-FR,BO,0.92,750-1150 MS.,,0.62,0.13,-0.3,0.672406988,-0.327593012,0.327593012
2-Control-FR,BO,1.04,750-1150 MS.,,0.62,0.23,-0.42,0.595017586,-0.404982414,0.404982414
2-Control-FR,BO,0.46,450-750 MS.,,0.29,0.32,-0.17,0.632342258,-0.367657742,0.367657742
2-Control-FR,BO,1.05,750-1150 MS.,,0.52,0.13,-0.53,0.496599488,-0.503400512,0.503400512
2-Control-FR,BO,0.75,750-1150 MS.,,0.72,0.23,-0.03,0.957895879,-0.042104121,0.042104121
2-Control-FR,BO,0.87,750-1150 MS.,,0.61,0.27,-0.26,0.702081633,-0.297918367,0.297918367
2-Control-FR,BO,0.66,450-750 MS.,,0.62,0.29,-0.03,0.952310418,-0.047689582,0.047689582
2-Control-FR,BO,0.62,450-750 MS.,,0.55,0.25,-0.07,0.892946391,-0.107053609,0.107053609
2-Control-FR,BO,1.11,750-1150 MS.,,0.61,0.23,-0.5,0.549293919,-0.450706081,0.450706081
2-Control-FR,BO,1.11,750-1150 MS.,,0.75,0.26,-0.36,0.67597757,-0.32402243,0.32402243
2-Control-FR,BO,0.41,150-450 MS.,,0.45,0.52,0.03,1.080153362,0.080153362,-0.080153362
2-Control-FR,BO,0.73,450-750 MS.,,0.71,0.3,-0.02,0.972258885,-0.027741115,0.027741115
2-Control-FR,BO,1.06,750-1150 MS.,,0.71,0.17,-0.35,0.670341814,-0.329658186,0.329658186
2-Control-FR,BO,0.35,150-450 MS.,,0.49,0.34,0.14,1.398585669,0.398585669,-0.398585669
2-Control-FR,BO,0.2,150-450 MS.,,0.48,0.31,0.28,2.346601316,1.346601316,-1.346601316
2-Control-FR,BO,0.32,150-450 MS.,,0.46,0.24,0.14,1.452617251,0.452617251,-0.452617251
2-Control-FR,BO,1.08,750-1150 MS.,,0.83,0.11,-0.25,0.767274042,-0.232725958,0.232725958
2-Control-FR,BO,0.51,450-750 MS.,,0.55,0.36,0.04,1.082669105,0.082669105,-0.082669105
2-Control-FR,BO,0.48,450-750 MS.,,0.56,0.2,0.08,1.175611667,0.175611667,-0.175611667
2-Control-FR,BO,0.73,450-750 MS.,,0.65,0.13,-0.08,0.889865635,-0.110134365,0.110134365
2-Control-FR,BO,0.33,150-450 MS.,,0.3,0.27,-0.03,0.897543745,-0.102456255,0.102456255
2-Control-FR,BO,0.53,450-750 MS.,,0.34,0.26,-0.18,0.651194717,-0.348805283,0.348805283
2-Control-FR,BO,0.18,150-450 MS.,,0.3,0.37,0.13,1.722799019,0.722799019,-0.722799019
2-Control-FR,BO,0.18,150-450 MS.,,0.2,0.4,0.02,1.11058803,0.11058803,-0.11058803
