condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,DIFF,RATIO,ABS ERROR,Avg.underest.(percentage)
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.27,-0.28,0.49,-0.51,0.51
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.27,-0.28,0.49,-0.51,0.51
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.22,-0.33,0.39,-0.61,0.61
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.19,-0.36,0.35,-0.65,0.65
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.22,-0.33,0.39,-0.61,0.61
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.31,-0.24,0.57,-0.43,0.43
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.36,-0.19,0.65,-0.35,0.35
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.34,-0.21,0.63,-0.37,0.37
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.26,-0.29,0.48,-0.52,0.52
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.29,-0.26,0.52,-0.48,0.48
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.28,-0.27,0.51,-0.49,0.49
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.22,-0.33,0.39,-0.61,0.61
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.18,-0.37,0.33,-0.67,0.67
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.22,-0.33,0.39,-0.61,0.61
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,ad,0.55,550 MS.,FALSE,0.22,-0.33,0.39,-0.61,0.61
4-Motor-RF,ad,0.55,550 MS.,TRUE,0.16,-0.39,0.29,-0.71,0.71
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.31,-0.23,0.58,-0.42,0.42
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.3,-0.3,0.45,-0.55,0.55
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.34,-0.27,0.51,-0.49,0.49
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.32,-0.27,0.51,-0.49,0.49
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.27,-0.23,0.58,-0.42,0.42
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.33,-0.22,0.6,-0.4,0.4
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.3,-0.26,0.52,-0.48,0.48
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.31,-0.25,0.55,-0.45,0.45
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.34,-0.25,0.54,-0.46,0.46
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.32,-0.16,0.71,-0.29,0.29
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.32,-0.25,0.55,-0.45,0.45
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.32,-0.23,0.58,-0.42,0.42
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.29,-0.26,0.52,-0.48,0.48
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.32,-0.17,0.7,-0.3,0.3
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.38,-0.23,0.58,-0.42,0.42
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.26,-0.24,0.57,-0.43,0.43
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.3,-0.17,0.7,-0.3,0.3
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.3,-0.15,0.73,-0.27,0.27
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.28,-0.18,0.67,-0.33,0.33
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.26,-0.23,0.58,-0.42,0.42
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.24,-0.13,0.76,-0.24,0.24
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.24,-0.23,0.58,-0.42,0.42
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.24,-0.17,0.68,-0.32,0.32
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.27,-0.21,0.61,-0.39,0.39
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.3,-0.18,0.67,-0.33,0.33
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.27,-0.19,0.65,-0.35,0.35
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.24,-0.17,0.7,-0.3,0.3
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.26,-0.17,0.68,-0.32,0.32
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.26,-0.17,0.7,-0.3,0.3
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.24,-0.11,0.8,-0.2,0.2
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.3,-0.13,0.77,-0.23,0.23
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.3,-0.14,0.74,-0.26,0.26
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.3,-0.07,0.87,-0.13,0.13
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.38,-0.01,0.99,-0.01,0.01
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.37,-0.13,0.77,-0.23,0.23
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.27,-0.1,0.81,-0.19,0.19
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.22,-0.11,0.8,-0.2,0.2
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.22,-0.1,0.81,-0.19,0.19
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.26,-0.05,0.9,-0.1,0.1
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.27,-0.15,0.73,-0.27,0.27
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.3,-0.16,0.71,-0.29,0.29
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.24,-0.25,0.55,-0.45,0.45
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.34,-0.23,0.58,-0.42,0.42
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.3,-0.21,0.63,-0.37,0.37
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.24,-0.21,0.63,-0.37,0.37
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.2,-0.23,0.58,-0.42,0.42
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.27,-0.13,0.77,-0.23,0.23
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.27,-0.15,0.73,-0.27,0.27
4-Motor-RF,ag,0.55,550 MS.,TRUE,0.25,-0.14,0.74,-0.26,0.26
4-Motor-RF,ag,0.55,550 MS.,FALSE,0.34,-0.15,0.73,-0.27,0.27
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.74,0.19,1.35,0.35,-0.35
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.4,-0.15,0.73,-0.27,0.27
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.46,-0.09,0.84,-0.16,0.16
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.29,-0.26,0.52,-0.48,0.48
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.38,-0.17,0.7,-0.3,0.3
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.38,-0.17,0.68,-0.32,0.32
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.39,-0.16,0.71,-0.29,0.29
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.45,-0.1,0.81,-0.19,0.19
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.48,-0.07,0.87,-0.13,0.13
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.45,-0.1,0.81,-0.19,0.19
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.46,-0.09,0.84,-0.16,0.16
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.46,-0.09,0.84,-0.16,0.16
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.45,-0.1,0.81,-0.19,0.19
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.51,-0.04,0.93,-0.07,0.07
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.46,-0.09,0.84,-0.16,0.16
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.42,-0.13,0.77,-0.23,0.23
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.46,-0.09,0.83,-0.17,0.17
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.4,-0.15,0.73,-0.27,0.27
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.5,-0.05,0.92,-0.08,0.08
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.27,-0.28,0.49,-0.51,0.51
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.27,-0.28,0.49,-0.51,0.51
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.18,-0.37,0.32,-0.68,0.68
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.35,-0.2,0.64,-0.36,0.36
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.3,-0.25,0.55,-0.45,0.45
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.29,-0.26,0.52,-0.48,0.48
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.38,-0.17,0.68,-0.32,0.32
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.22,-0.33,0.39,-0.61,0.61
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.29,-0.26,0.52,-0.48,0.48
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.26,-0.29,0.48,-0.52,0.52
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.29,-0.26,0.52,-0.48,0.48
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.19,-0.36,0.35,-0.65,0.65
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.2,-0.35,0.36,-0.64,0.64
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.22,-0.33,0.39,-0.61,0.61
4-Motor-RF,bs,0.55,550 MS.,FALSE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,bs,0.55,550 MS.,TRUE,0.22,-0.33,0.39,-0.61,0.61
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.5,-0.05,0.92,-0.08,0.08
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.45,-0.1,0.81,-0.19,0.19
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.64,0.09,1.16,0.16,-0.16
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.62,0.07,1.13,0.13,-0.13
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.54,-0.01,0.99,-0.01,0.01
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.74,0.19,1.34,0.34,-0.34
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.53,-0.02,0.96,-0.04,0.04
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.29,-0.26,0.52,-0.48,0.48
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.39,-0.16,0.71,-0.29,0.29
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.42,-0.13,0.77,-0.23,0.23
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.61,0.06,1.11,0.11,-0.11
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.61,0.06,1.11,0.11,-0.11
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.32,-0.23,0.58,-0.42,0.42
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.31,-0.24,0.57,-0.43,0.43
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.35,-0.2,0.64,-0.36,0.36
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.38,-0.17,0.68,-0.32,0.32
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.34,-0.21,0.61,-0.39,0.39
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.33,-0.22,0.6,-0.4,0.4
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.31,-0.24,0.57,-0.43,0.43
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.27,-0.28,0.49,-0.51,0.51
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.3,-0.25,0.55,-0.45,0.45
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.34,-0.21,0.63,-0.37,0.37
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.38,-0.17,0.68,-0.32,0.32
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.3,-0.25,0.55,-0.45,0.45
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.38,-0.17,0.7,-0.3,0.3
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.36,-0.19,0.65,-0.35,0.35
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.42,-0.13,0.77,-0.23,0.23
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.48,-0.07,0.87,-0.13,0.13
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.35,-0.2,0.64,-0.36,0.36
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.39,-0.16,0.71,-0.29,0.29
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.38,-0.17,0.68,-0.32,0.32
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.42,-0.13,0.76,-0.24,0.24
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.34,-0.21,0.61,-0.39,0.39
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.44,-0.11,0.8,-0.2,0.2
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.3,-0.25,0.55,-0.45,0.45
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.41,-0.14,0.74,-0.26,0.26
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.33,-0.22,0.6,-0.4,0.4
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.35,-0.2,0.64,-0.36,0.36
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.43,-0.12,0.79,-0.21,0.21
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.37,-0.18,0.67,-0.33,0.33
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.37,-0.18,0.67,-0.33,0.33
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.37,-0.18,0.67,-0.33,0.33
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.38,-0.17,0.68,-0.32,0.32
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.54,-0.01,0.97,-0.03,0.03
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.53,-0.02,0.96,-0.04,0.04
4-Motor-RF,bt,0.55,550 MS.,FALSE,0.38,-0.17,0.68,-0.32,0.32
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.41,-0.14,0.74,-0.26,0.26
4-Motor-RF,bt,0.55,550 MS.,TRUE,0.46,-0.09,0.84,-0.16,0.16
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.18,-0.37,0.32,-0.68,0.68
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.26,-0.29,0.48,-0.52,0.52
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.32,-0.23,0.58,-0.42,0.42
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.28,-0.27,0.51,-0.49,0.49
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.15,-0.4,0.28,-0.72,0.72
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.3,-0.25,0.55,-0.45,0.45
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.3,-0.25,0.55,-0.45,0.45
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.19,-0.36,0.35,-0.65,0.65
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.34,-0.21,0.61,-0.39,0.39
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.39,-0.16,0.71,-0.29,0.29
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.26,-0.29,0.48,-0.52,0.52
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.29,-0.26,0.52,-0.48,0.48
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.42,-0.13,0.77,-0.23,0.23
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.45,-0.1,0.81,-0.19,0.19
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.37,-0.18,0.67,-0.33,0.33
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.2,-0.35,0.36,-0.64,0.64
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.34,-0.21,0.61,-0.39,0.39
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.28,-0.27,0.51,-0.49,0.49
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.38,-0.17,0.7,-0.3,0.3
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.27,-0.28,0.49,-0.51,0.51
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.31,-0.24,0.57,-0.43,0.43
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.38,-0.17,0.68,-0.32,0.32
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.32,-0.23,0.58,-0.42,0.42
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.3,-0.25,0.54,-0.46,0.46
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.28,-0.27,0.51,-0.49,0.49
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.3,-0.25,0.55,-0.45,0.45
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.42,-0.13,0.76,-0.24,0.24
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.42,-0.13,0.77,-0.23,0.23
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.42,-0.13,0.76,-0.24,0.24
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.36,-0.19,0.65,-0.35,0.35
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.41,-0.14,0.74,-0.26,0.26
4-Motor-RF,dt,0.55,550 MS.,FALSE,0.34,-0.21,0.63,-0.37,0.37
4-Motor-RF,dt,0.55,550 MS.,TRUE,0.4,-0.15,0.73,-0.27,0.27
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.28,-0.27,0.51,-0.49,0.49
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.18,-0.37,0.32,-0.68,0.68
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.22,-0.33,0.39,-0.61,0.61
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.2,-0.35,0.36,-0.64,0.64
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.27,-0.28,0.49,-0.51,0.51
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.19,-0.36,0.35,-0.65,0.65
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.28,-0.27,0.51,-0.49,0.49
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.2,-0.35,0.36,-0.64,0.64
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.19,-0.36,0.35,-0.65,0.65
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.18,-0.37,0.33,-0.67,0.67
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.26,-0.29,0.47,-0.53,0.53
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.26,-0.29,0.48,-0.52,0.52
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.2,-0.35,0.36,-0.64,0.64
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.14,-0.41,0.26,-0.74,0.74
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.27,-0.28,0.49,-0.51,0.51
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.25,-0.3,0.45,-0.55,0.55
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.27,-0.28,0.49,-0.51,0.51
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.3,-0.25,0.55,-0.45,0.45
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.26,-0.29,0.48,-0.52,0.52
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.24,-0.31,0.44,-0.56,0.56
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.23,-0.32,0.42,-0.58,0.58
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.18,-0.37,0.33,-0.67,0.67
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.22,-0.33,0.41,-0.59,0.59
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.21,-0.34,0.38,-0.62,0.62
4-Motor-RF,hc,0.55,550 MS.,FALSE,0.18,-0.37,0.32,-0.68,0.68
4-Motor-RF,hc,0.55,550 MS.,TRUE,0.24,-0.31,0.44,-0.56,0.56
