condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,DIFF,RATIO,ABS ERROR,Avg.underest.(percentage)
0-Control-RR,ia,0.62,350-750 MS.,,0.39,-0.23,0.63,-0.37,0.37
0-Control-RR,ia,0.58,350-750 MS.,,0.34,-0.24,0.59,-0.41,0.41
0-Control-RR,ia,0.91,750-1100 MS.,,0.33,-0.58,0.36,-0.64,0.64
0-Control-RR,ia,1.09,750-1100 MS.,,0.47,-0.62,0.43,-0.57,0.57
0-Control-RR,ia,0.66,350-750 MS.,,0.4,-0.26,0.61,-0.39,0.39
0-Control-RR,ia,0.86,750-1100 MS.,,0.38,-0.49,0.44,-0.56,0.56
0-Control-RR,ia,0.51,350-750 MS.,,0.3,-0.21,0.58,-0.42,0.42
0-Control-RR,ia,0.9,750-1100 MS.,,0.42,-0.48,0.46,-0.54,0.54
0-Control-RR,mae,0.04,0-350 MS.,,0.07,0.04,1.95,0.95,-0.95
0-Control-RR,mae,0.66,350-750 MS.,,0.26,-0.4,0.39,-0.61,0.61
0-Control-RR,mae,0.65,350-750 MS.,,0.42,-0.23,0.65,-0.35,0.35
0-Control-RR,mae,0.58,350-750 MS.,,0.53,-0.05,0.91,-0.09,0.09
0-Control-RR,mae,0.08,0-350 MS.,,0.08,0,1.02,0.02,-0.02
0-Control-RR,mae,0.1,0-350 MS.,,0.06,-0.04,0.57,-0.43,0.43
0-Control-RR,mae,0.13,0-350 MS.,,0.22,0.09,1.69,0.69,-0.69
0-Control-RR,mae,0.95,750-1100 MS.,,0.58,-0.36,0.62,-0.38,0.38
0-Control-RR,mae,1.01,750-1100 MS.,,0.6,-0.41,0.6,-0.4,0.4
0-Control-RR,mae,0.3,0-350 MS.,,0.23,-0.07,0.76,-0.24,0.24
0-Control-RR,mae,0.14,0-350 MS.,,0.21,0.07,1.54,0.54,-0.54
0-Control-RR,mae,0.09,0-350 MS.,,0.14,0.05,1.51,0.51,-0.51
0-Control-RR,mae,0.62,350-750 MS.,,0.48,-0.14,0.77,-0.23,0.23
0-Control-RR,mae,0.8,750-1100 MS.,,0.54,-0.26,0.67,-0.33,0.33
0-Control-RR,mae,0.95,750-1100 MS.,,0.52,-0.43,0.55,-0.45,0.45
0-Control-RR,mae,0.46,350-750 MS.,,0.31,-0.15,0.68,-0.32,0.32
0-Control-RR,mae,0.86,750-1100 MS.,,0.49,-0.37,0.57,-0.43,0.43
0-Control-RR,mae,1.08,750-1100 MS.,,0.51,-0.57,0.47,-0.53,0.53
0-Control-RR,mae,0.94,750-1100 MS.,,0.4,-0.54,0.43,-0.57,0.57
0-Control-RR,mae,0.19,0-350 MS.,,0.11,-0.08,0.58,-0.42,0.42
0-Control-RR,mae,0.86,750-1100 MS.,,0.6,-0.26,0.69,-0.31,0.31
0-Control-RR,mae,0.04,0-350 MS.,,0.09,0.05,2.37,1.37,-1.37
0-Control-RR,mae,0.41,350-750 MS.,,0.22,-0.18,0.55,-0.45,0.45
0-Control-RR,mae,0.52,350-750 MS.,,0.35,-0.17,0.67,-0.33,0.33
0-Control-RR,mae,0.2,0-350 MS.,,0.41,0.2,2,1,-1
0-Control-RR,mae,0.96,750-1100 MS.,,0.47,-0.49,0.49,-0.51,0.51
0-Control-RR,mae,0.39,350-750 MS.,,0.46,0.07,1.19,0.19,-0.19
0-Control-RR,mae,1.04,750-1100 MS.,,0.74,-0.29,0.72,-0.28,0.28
0-Control-RR,mae,0.39,350-750 MS.,,0.34,-0.05,0.88,-0.12,0.12
0-Control-RR,mae,0.04,0-350 MS.,,0.04,0,1.01,0.01,-0.01
0-Control-RR,mae,0.91,750-1100 MS.,,0.6,-0.31,0.66,-0.34,0.34
0-Control-RR,mae,0.3,0-350 MS.,,0.39,0.1,1.32,0.32,-0.32
0-Control-RR,mae,0.27,0-350 MS.,,0.36,0.09,1.35,0.35,-0.35
0-Control-RR,mae,1.09,750-1100 MS.,,0.66,-0.43,0.61,-0.39,0.39
0-Control-RR,mae,0.1,0-350 MS.,,0.04,-0.06,0.41,-0.59,0.59
0-Control-RR,mae,1.06,750-1100 MS.,,0.7,-0.36,0.66,-0.34,0.34
0-Control-RR,mae,0.86,750-1100 MS.,,0.5,-0.36,0.59,-0.41,0.41
