condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,space_RT,DIFFERENCE,RATIO,ABS ERROR,Avg.underest.(percentage),LOG_RT
2-Control-FR,SP,0.62,450-750 MS.,,0.66,0.34,0.05,1.07,0.07,-0.07,-1.07
2-Control-FR,SP,1,750-1150 MS.,,0.68,0.34,-0.32,0.68,-0.32,0.32,-1.09
2-Control-FR,SP,1.11,750-1150 MS.,,0.69,0.30,-0.42,0.62,-0.38,0.38,-1.2
2-Control-FR,SP,0.35,150-450 MS.,,0.33,0.44,-0.03,0.92,-0.08,0.08,-0.81
2-Control-FR,SP,0.41,150-450 MS.,,0.42,0.44,0.01,1.02,0.02,-0.02,-0.83
2-Control-FR,SP,0.98,750-1150 MS.,,0.49,0.34,-0.49,0.5,-0.5,0.5,-1.07
2-Control-FR,SP,0.96,750-1150 MS.,,0.53,0.39,-0.43,0.55,-0.45,0.45,-0.94
2-Control-FR,SP,0.33,150-450 MS.,,0.24,0.45,-0.09,0.73,-0.27,0.27,-0.81
2-Control-FR,SP,0.33,150-450 MS.,,0.45,0.49,0.12,1.36,0.36,-0.36,-0.72
2-Control-FR,SP,0.92,750-1150 MS.,,0.52,0.30,-0.4,0.57,-0.43,0.43,-1.22
2-Control-FR,SP,0.98,750-1150 MS.,,0.58,0.46,-0.39,0.6,-0.4,0.4,-0.79
2-Control-FR,SP,0.71,450-750 MS.,,0.54,0.39,-0.17,0.77,-0.23,0.23,-0.95
2-Control-FR,SP,0.86,750-1150 MS.,,0.70,0.44,-0.15,0.82,-0.18,0.18,-0.83
2-Control-FR,SP,0.71,450-750 MS.,,0.47,0.34,-0.23,0.67,-0.33,0.33,-1.07
2-Control-FR,SP,0.51,450-750 MS.,,0.41,0.76,-0.1,0.8,-0.2,0.2,-0.27
2-Control-FR,SP,0.42,150-450 MS.,,0.63,0.46,0.21,1.51,0.51,-0.51,-0.78
2-Control-FR,SP,0.73,450-750 MS.,,0.63,0.38,-0.1,0.86,-0.14,0.14,-0.96
2-Control-FR,SP,0.18,150-450 MS.,,0.51,0.50,0.34,2.9,1.9,-1.9,-0.69
2-Control-FR,SP,0.53,450-750 MS.,,0.54,0.33,0.02,1.03,0.03,-0.03,-1.11
2-Control-FR,SP,0.8,750-1150 MS.,,0.66,0.34,-0.15,0.82,-0.18,0.18,-1.08
2-Control-FR,SP,1.08,750-1150 MS.,,0.63,0.40,-0.45,0.58,-0.42,0.42,-0.91
2-Control-FR,SP,1.06,750-1150 MS.,,0.54,0.47,-0.53,0.5,-0.5,0.5,-0.76
2-Control-FR,SP,0.75,750-1150 MS.,,0.66,0.44,-0.1,0.87,-0.13,0.13,-0.83
2-Control-FR,SP,0.59,450-750 MS.,,1.00,0.29,0.41,1.7,0.7,-0.7,-1.23
2-Control-FR,SP,0.37,150-450 MS.,,0.71,0.41,0.34,1.9,0.9,-0.9,-0.89
2-Control-FR,SP,0.52,450-750 MS.,,0.36,0.42,-0.16,0.69,-0.31,0.31,-0.87
2-Control-FR,SP,1.05,750-1150 MS.,,0.68,0.45,-0.37,0.65,-0.35,0.35,-0.8
2-Control-FR,SP,0.28,150-450 MS.,,0.41,0.65,0.13,1.46,0.46,-0.46,-0.43
2-Control-FR,SP,0.18,150-450 MS.,,0.26,0.62,0.08,1.47,0.47,-0.47,-0.48
2-Control-FR,SP,0.46,450-750 MS.,,0.41,0.51,-0.05,0.9,-0.1,0.1,-0.67
2-Control-FR,SP,1.11,750-1150 MS.,,0.34,0.43,-0.78,0.3,-0.7,0.7,-0.85
2-Control-FR,SP,1.06,750-1150 MS.,,0.30,0.49,-0.75,0.29,-0.71,0.71,-0.72
2-Control-FR,SP,0.32,150-450 MS.,,0.23,0.45,-0.09,0.73,-0.27,0.27,-0.81
2-Control-FR,SP,0.2,150-450 MS.,,0.16,0.77,-0.04,0.78,-0.22,0.22,-0.26
2-Control-FR,SP,0.18,150-450 MS.,,0.15,0.62,-0.03,0.82,-0.18,0.18,-0.47
2-Control-FR,SP,0.73,450-750 MS.,,0.17,0.56,-0.56,0.23,-0.77,0.77,-0.58
2-Control-FR,SP,0.22,150-450 MS.,,0.30,0.65,0.08,1.35,0.35,-0.35,-0.43
2-Control-FR,SP,0.42,150-450 MS.,,0.53,0.67,0.11,1.27,0.27,-0.27,-0.39
2-Control-FR,SP,0.89,750-1150 MS.,,0.49,0.31,-0.41,0.55,-0.45,0.45,-1.18
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.73,0.76,0.08,1.12,0.12,-0.12,-0.28
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.66,0.58,0.01,1.01,0.01,-0.01,-0.55
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.79,0.44,0.14,1.22,0.22,-0.22,-0.81
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.86,0.45,0.21,1.33,0.33,-0.33,-0.81
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.90,0.58,0.25,1.38,0.38,-0.38,-0.54
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.87,0.62,0.22,1.34,0.34,-0.34,-0.47
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.71,0.78,0.06,1.1,0.1,-0.1,-0.25
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.70,0.51,0.05,1.07,0.07,-0.07,-0.67
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.85,0.46,0.2,1.3,0.3,-0.3,-0.77
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.74,0.40,0.09,1.14,0.14,-0.14,-0.92
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.68,0.45,0.03,1.05,0.05,-0.05,-0.79
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.74,0.21,0.09,1.13,0.13,-0.13,-1.54
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.88,0.35,0.23,1.35,0.35,-0.35,-1.05
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.78,0.52,0.13,1.21,0.21,-0.21,-0.65
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.76,0.41,0.11,1.17,0.17,-0.17,-0.9
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.78,0.25,0.13,1.21,0.21,-0.21,-1.4
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.62,0.43,-0.03,0.96,-0.04,0.04,-0.84
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.56,0.40,-0.09,0.86,-0.14,0.14,-0.93
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.78,0.15,0.13,1.21,0.21,-0.21,-1.92
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.67,0.43,0.02,1.03,0.03,-0.03,-0.84
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.70,0.46,0.05,1.08,0.08,-0.08,-0.78
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.74,0.42,0.09,1.13,0.13,-0.13,-0.88
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.84,0.41,0.19,1.29,0.29,-0.29,-0.88
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.71,0.40,0.06,1.1,0.1,-0.1,-0.91
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.62,0.36,-0.03,0.95,-0.05,0.05,-1.02
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.54,0.41,-0.11,0.84,-0.16,0.16,-0.88
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.63,0.45,-0.02,0.97,-0.03,0.03,-0.81
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.70,0.37,0.05,1.07,0.07,-0.07,-1
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.55,0.33,-0.1,0.85,-0.15,0.15,-1.11
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.62,0.44,-0.03,0.95,-0.05,0.05,-0.81
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.78,0.38,0.13,1.19,0.19,-0.19,-0.96
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.64,0.42,-0.01,0.98,-0.02,0.02,-0.87
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.75,0.53,0.1,1.16,0.16,-0.16,-0.64
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.97,0.73,0.32,1.49,0.49,-0.49,-0.32
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.69,0.78,0.04,1.06,0.06,-0.06,-0.24
3-Prediction-FF,SP,0.65,650 MS.,FALSE,1.03,0.52,0.38,1.59,0.59,-0.59,-0.65
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.45,0.57,-0.2,0.69,-0.31,0.31,-0.57
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.88,0.35,0.23,1.35,0.35,-0.35,-1.06
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.58,0.13,-0.07,0.9,-0.1,0.1,-2.06
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.66,0.58,0.01,1.02,0.02,-0.02,-0.54
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.61,0.59,-0.04,0.94,-0.06,0.06,-0.52
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.29,0.50,-0.36,0.44,-0.56,0.56,-0.69
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.47,0.60,-0.18,0.73,-0.27,0.27,-0.52
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.49,0.47,-0.16,0.75,-0.25,0.25,-0.76
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.70,0.55,0.05,1.07,0.07,-0.07,-0.6
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.82,0.31,0.17,1.26,0.26,-0.26,-1.17
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.70,0.19,0.05,1.08,0.08,-0.08,-1.66
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.82,0.34,0.17,1.27,0.27,-0.27,-1.09
3-Prediction-FF,SP,0.65,650 MS.,FALSE,0.62,0.58,-0.03,0.96,-0.04,0.04,-0.54
3-Prediction-FF,SP,0.65,650 MS.,TRUE,0.70,0.38,0.05,1.07,0.07,-0.07,-0.97
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.54,1.15,-0.11,0.82,-0.18,0.18,0.14
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.57,0.93,-0.08,0.87,-0.13,0.13,-0.07
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.78,0.65,0.13,1.21,0.21,-0.21,-0.43
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.72,0.71,0.07,1.11,0.11,-0.11,-0.34
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.64,0.50,-0.01,0.98,-0.02,0.02,-0.7
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.86,0.43,0.21,1.33,0.33,-0.33,-0.86
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.83,0.35,0.18,1.28,0.28,-0.28,-1.04
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.79,0.34,0.14,1.22,0.22,-0.22,-1.09
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.76,0.38,0.11,1.17,0.17,-0.17,-0.97
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.82,0.34,0.17,1.26,0.26,-0.26,-1.07
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.89,0.35,0.24,1.37,0.37,-0.37,-1.06
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.88,0.43,0.23,1.35,0.35,-0.35,-0.84
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.78,0.31,0.13,1.19,0.19,-0.19,-1.18
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.70,0.40,0.05,1.08,0.08,-0.08,-0.91
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.81,0.41,0.16,1.24,0.24,-0.24,-0.9
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.27,0.37,-0.38,0.42,-0.58,0.58,-0.99
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.49,0.55,-0.16,0.75,-0.25,0.25,-0.59
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.34,0.58,-0.31,0.52,-0.48,0.48,-0.55
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.50,0.65,-0.15,0.78,-0.22,0.22,-0.43
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.42,0.65,-0.23,0.64,-0.36,0.36,-0.43
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.49,0.75,-0.16,0.75,-0.25,0.25,-0.29
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.65,0.91,0,1,0,0,-0.09
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.78,0.99,0.13,1.21,0.21,-0.21,-0.01
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.54,0.77,-0.11,0.84,-0.16,0.16,-0.26
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.78,1.08,0.13,1.21,0.21,-0.21,0.08
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.64,0.69,-0.01,0.98,-0.02,0.02,-0.37
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.67,0.67,0.02,1.03,0.03,-0.03,-0.4
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.62,0.55,-0.03,0.96,-0.04,0.04,-0.6
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.68,0.48,0.03,1.05,0.05,-0.05,-0.73
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.63,0.41,-0.02,0.97,-0.03,0.03,-0.89
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.78,0.48,0.13,1.21,0.21,-0.21,-0.74
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.93,0.41,0.28,1.43,0.43,-0.43,-0.9
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.85,0.34,0.2,1.3,0.3,-0.3,-1.07
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.71,0.30,0.06,1.1,0.1,-0.1,-1.2
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.82,0.38,0.17,1.27,0.27,-0.27,-0.97
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.88,0.38,0.23,1.35,0.35,-0.35,-0.98
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.89,0.33,0.24,1.37,0.37,-0.37,-1.11
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.78,0.36,0.13,1.19,0.19,-0.19,-1.01
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.74,0.47,0.09,1.13,0.13,-0.13,-0.75
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.86,0.24,0.21,1.33,0.33,-0.33,-1.42
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.80,0.40,0.15,1.23,0.23,-0.23,-0.91
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.65,0.41,0,1,0,0,-0.9
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.64,0.45,-0.01,0.98,-0.02,0.02,-0.8
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.68,0.42,0.03,1.05,0.05,-0.05,-0.86
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.55,0.37,-0.1,0.85,-0.15,0.15,-1
4-Motor-RF,SP,0.65,650 MS.,TRUE,0.61,0.45,-0.04,0.94,-0.06,0.06,-0.81
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.62,0.48,-0.03,0.96,-0.04,0.04,-0.74
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.81,0.53,0.16,1.24,0.24,-0.24,-0.63
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.78,0.30,0.13,1.21,0.21,-0.21,-1.19
4-Motor-RF,SP,0.65,650 MS.,FALSE,0.77,0.32,0.12,1.18,0.18,-0.18,-1.15
5-Control-RF,SP,0.65,650 MS.,,,,,,,,
5-Control-RF,SP,0.65,650 MS.,,0.50,1.21,-0.15,0.78,-0.22,0.22,0.19
5-Control-RF,SP,0.65,650 MS.,,0.62,0.42,-0.03,0.95,-0.05,0.05,-0.86
5-Control-RF,SP,0.65,650 MS.,,0.78,0.35,0.13,1.19,0.19,-0.19,-1.05
5-Control-RF,SP,0.65,650 MS.,,0.62,0.80,-0.03,0.96,-0.04,0.04,-0.22
5-Control-RF,SP,0.65,650 MS.,,0.55,0.50,-0.1,0.85,-0.15,0.15,-0.68
5-Control-RF,SP,0.65,650 MS.,,0.69,0.44,0.04,1.06,0.06,-0.06,-0.83
5-Control-RF,SP,0.65,650 MS.,,0.54,0.34,-0.11,0.84,-0.16,0.16,-1.07
5-Control-RF,SP,0.65,650 MS.,,0.62,0.33,-0.03,0.95,-0.05,0.05,-1.1
5-Control-RF,SP,0.65,650 MS.,,0.62,0.39,-0.03,0.95,-0.05,0.05,-0.95
5-Control-RF,SP,0.65,650 MS.,,0.74,0.37,0.09,1.14,0.14,-0.14,-0.99
5-Control-RF,SP,0.65,650 MS.,,0.59,0.44,-0.06,0.91,-0.09,0.09,-0.82
5-Control-RF,SP,0.65,650 MS.,,0.66,0.42,0.01,1.01,0.01,-0.01,-0.88
5-Control-RF,SP,0.65,650 MS.,,0.64,0.46,-0.01,0.98,-0.02,0.02,-0.77
5-Control-RF,SP,0.65,650 MS.,,0.62,0.36,-0.03,0.96,-0.04,0.04,-1.01
5-Control-RF,SP,0.65,650 MS.,,0.66,0.41,0.01,1.01,0.01,-0.01,-0.89
5-Control-RF,SP,0.65,650 MS.,,0.63,0.28,-0.02,0.97,-0.03,0.03,-1.26
5-Control-RF,SP,0.65,650 MS.,,0.58,0.33,-0.07,0.9,-0.1,0.1,-1.12
5-Control-RF,SP,0.65,650 MS.,,0.81,0.49,0.16,1.24,0.24,-0.24,-0.71
5-Control-RF,SP,0.65,650 MS.,,0.84,0.38,0.19,1.29,0.29,-0.29,-0.97
5-Control-RF,SP,0.65,650 MS.,,0.87,0.30,0.22,1.34,0.34,-0.34,-1.19
5-Control-RF,SP,0.65,650 MS.,,0.74,0.44,0.09,1.14,0.14,-0.14,-0.82
5-Control-RF,SP,0.65,650 MS.,,0.81,0.37,0.16,1.24,0.24,-0.24,-0.99
5-Control-RF,SP,0.65,650 MS.,,0.78,0.33,0.13,1.21,0.21,-0.21,-1.12
5-Control-RF,SP,0.65,650 MS.,,0.74,0.36,0.09,1.13,0.13,-0.13,-1.02
5-Control-RF,SP,0.65,650 MS.,,0.80,0.36,0.15,1.23,0.23,-0.23,-1.03
5-Control-RF,SP,0.65,650 MS.,,0.96,0.39,0.31,1.48,0.48,-0.48,-0.95
5-Control-RF,SP,0.65,650 MS.,,0.91,0.83,0.26,1.4,0.4,-0.4,-0.19
5-Control-RF,SP,0.65,650 MS.,,0.55,0.54,-0.1,0.85,-0.15,0.15,-0.61
5-Control-RF,SP,0.65,650 MS.,,0.33,0.57,-0.32,0.5,-0.5,0.5,-0.55
5-Control-RF,SP,0.65,650 MS.,,0.38,0.45,-0.27,0.59,-0.41,0.41,-0.79
5-Control-RF,SP,0.65,650 MS.,,0.47,0.55,-0.18,0.73,-0.27,0.27,-0.6
5-Control-RF,SP,0.65,650 MS.,,0.52,0.40,-0.13,0.8,-0.2,0.2,-0.92
5-Control-RF,SP,0.65,650 MS.,,0.61,0.33,-0.04,0.94,-0.06,0.06,-1.11
5-Control-RF,SP,0.65,650 MS.,,0.62,0.35,-0.03,0.95,-0.05,0.05,-1.05
5-Control-RF,SP,0.65,650 MS.,,0.60,0.40,-0.05,0.92,-0.08,0.08,-0.93
5-Control-RF,SP,0.65,650 MS.,,0.68,0.39,0.03,1.05,0.05,-0.05,-0.94
5-Control-RF,SP,0.65,650 MS.,,0.63,0.44,-0.02,0.97,-0.03,0.03,-0.81
5-Control-RF,SP,0.65,650 MS.,,0.68,0.29,0.03,1.05,0.05,-0.05,-1.23
5-Control-RF,SP,0.65,650 MS.,,0.70,0.31,0.05,1.08,0.08,-0.08,-1.16
5-Control-RF,SP,0.65,650 MS.,,0.70,0.33,0.05,1.07,0.07,-0.07,-1.1
5-Control-RF,SP,0.65,650 MS.,,0.55,0.38,-0.1,0.85,-0.15,0.15,-0.97
5-Control-RF,SP,0.65,650 MS.,,0.57,0.27,-0.08,0.87,-0.13,0.13,-1.33
5-Control-RF,SP,0.65,650 MS.,,0.58,0.60,-0.07,0.89,-0.11,0.11,-0.52
5-Control-RF,SP,0.65,650 MS.,,0.72,0.55,0.07,1.11,0.11,-0.11,-0.59
5-Control-RF,SP,0.65,650 MS.,,0.68,0.80,0.03,1.05,0.05,-0.05,-0.23
5-Control-RF,SP,0.65,650 MS.,,0.66,0.44,0.01,1.01,0.01,-0.01,-0.81
5-Control-RF,SP,0.65,650 MS.,,0.58,0.61,-0.07,0.9,-0.1,0.1,-0.5
5-Control-RF,SP,0.65,650 MS.,,0.61,0.58,-0.04,0.94,-0.06,0.06,-0.54
5-Control-RF,SP,0.65,650 MS.,,0.66,0.40,0.01,1.02,0.02,-0.02,-0.92
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.21,0.81,0.56,1.86,0.86,-0.86,-0.21
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.23,0.95,0.58,1.9,0.9,-0.9,-0.06
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.10,0.74,0.45,1.7,0.7,-0.7,-0.3
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.14,0.56,0.49,1.75,0.75,-0.75,-0.58
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.24,0.67,0.59,1.91,0.91,-0.91,-0.41
6-Prediction-RF,SP,0.65,650 MS.,TRUE,0.71,0.70,0.06,1.1,0.1,-0.1,-0.36
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.93,0.54,0.28,1.43,0.43,-0.43,-0.61
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.58,0.62,-0.07,0.9,-0.1,0.1,-0.48
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.02,0.42,0.37,1.56,0.56,-0.56,-0.86
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.00,0.41,0.35,1.54,0.54,-0.54,-0.9
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.94,0.43,0.29,1.44,0.44,-0.44,-0.85
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.18,0.42,0.53,1.81,0.81,-0.81,-0.87
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.76,0.38,0.11,1.17,0.17,-0.17,-0.96
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.14,1.17,0.49,1.76,0.76,-0.76,0.15
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.14,0.49,0.49,1.76,0.76,-0.76,-0.72
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.86,0.26,0.21,1.32,0.32,-0.32,-1.36
6-Prediction-RF,SP,0.65,650 MS.,TRUE,0.69,0.15,0.04,1.06,0.06,-0.06,-1.87
6-Prediction-RF,SP,0.65,650 MS.,TRUE,0.99,0.33,0.34,1.53,0.53,-0.53,-1.12
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.55,0.48,0.9,2.39,1.39,-1.39,-0.74
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.36,0.46,0.71,2.09,1.09,-1.09,-0.77
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.30,0.57,0.65,2.01,1.01,-1.01,-0.56
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.43,0.69,0.78,2.2,1.2,-1.2,-0.38
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.44,0.65,0.79,2.22,1.22,-1.22,-0.43
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.18,0.53,0.53,1.81,0.81,-0.81,-0.63
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.21,0.51,0.56,1.86,0.86,-0.86,-0.67
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.09,0.64,0.44,1.67,0.67,-0.67,-0.45
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.09,0.59,0.44,1.67,0.67,-0.67,-0.53
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.23,0.58,0.58,1.9,0.9,-0.9,-0.55
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.09,0.58,0.44,1.67,0.67,-0.67,-0.55
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.24,0.92,0.59,1.91,0.91,-0.91,-0.09
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.62,0.93,-0.03,0.95,-0.05,0.05,-0.07
6-Prediction-RF,SP,0.65,650 MS.,TRUE,0.89,0.85,0.24,1.37,0.37,-0.37,-0.16
6-Prediction-RF,SP,0.65,650 MS.,TRUE,0.62,1.17,-0.03,0.96,-0.04,0.04,0.16
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.59,0.72,-0.06,0.91,-0.09,0.09,-0.33
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.78,0.50,0.13,1.21,0.21,-0.21,-0.69
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.13,0.43,0.48,1.74,0.74,-0.74,-0.84
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.95,0.41,0.3,1.46,0.46,-0.46,-0.9
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.80,0.13,0.15,1.23,0.23,-0.23,-2.02
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.07,0.58,0.42,1.65,0.65,-0.65,-0.55
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.86,0.61,0.21,1.32,0.32,-0.32,-0.49
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.82,0.56,0.17,1.27,0.27,-0.27,-0.58
6-Prediction-RF,SP,0.65,650 MS.,TRUE,0.82,0.53,0.17,1.26,0.26,-0.26,-0.64
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.92,0.38,0.27,1.42,0.42,-0.42,-0.97
6-Prediction-RF,SP,0.65,650 MS.,FALSE,0.95,0.44,0.3,1.46,0.46,-0.46,-0.83
6-Prediction-RF,SP,0.65,650 MS.,TRUE,0.89,0.42,0.24,1.37,0.37,-0.37,-0.87
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.07,0.37,0.42,1.65,0.65,-0.65,-0.99
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.10,0.53,0.45,1.7,0.7,-0.7,-0.63
6-Prediction-RF,SP,0.65,650 MS.,FALSE,1.14,0.54,0.49,1.75,0.75,-0.75,-0.62
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.06,0.55,0.41,1.62,0.62,-0.62,-0.6
6-Prediction-RF,SP,0.65,650 MS.,TRUE,1.29,0.54,0.64,1.98,0.98,-0.98,-0.61
7-Control- FF,SP,0.65,650 MS.,,0.46,1.24,-0.19,0.7,-0.3,0.3,0.22
7-Control- FF,SP,0.65,650 MS.,,0.78,0.88,0.13,1.21,0.21,-0.21,-0.13
7-Control- FF,SP,0.65,650 MS.,,0.43,0.96,-0.22,0.66,-0.34,0.34,-0.05
7-Control- FF,SP,0.65,650 MS.,,0.52,1.12,-0.13,0.8,-0.2,0.2,0.12
7-Control- FF,SP,0.65,650 MS.,,0.54,0.74,-0.11,0.82,-0.18,0.18,-0.3
7-Control- FF,SP,0.65,650 MS.,,0.58,0.71,-0.07,0.89,-0.11,0.11,-0.34
7-Control- FF,SP,0.65,650 MS.,,0.64,0.47,-0.01,0.98,-0.02,0.02,-0.76
7-Control- FF,SP,0.65,650 MS.,,0.82,0.45,0.17,1.26,0.26,-0.26,-0.8
7-Control- FF,SP,0.65,650 MS.,,0.88,0.48,0.23,1.35,0.35,-0.35,-0.74
